ENCUESTA;PREGUNTA;RESPUESTA;CORRECTA;PAIS
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizo el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, finalmente, fueron abandonadas?;a.Si;SI;Vietnam
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizo el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, finalmente, fueron abandonadas?;a.Si;SI;Samoa Occidental
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizo el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, finalmente, fueron abandonadas?;b.No;NO;Syria
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizo el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, finalmente, fueron abandonadas?;b.No;NO;Emiratos Arabes Unidos
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizo el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, finalmente, fueron abandonadas?;b.No;NO;Uruguay
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;a.Invento Nuevo;SI;Syria
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;a.Invento Nuevo;SI;Togo
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;a.Invento Nuevo;SI;Tongo
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;a.Invento Nuevo;SI;Turquia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;a.Invento Nuevo;SI;Tuvalu
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;a.Invento Nuevo;SI;Uganda
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;a.Invento Nuevo;SI;Uganda
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;a.Invento Nuevo;SI;Rusia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;a.Invento Nuevo;SI;Reino Unido
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;a.Invento Nuevo;SI;Estados Unidos
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;a.Invento Nuevo;SI;Alto Volta
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;a.Invento Nuevo;SI;Venezuela
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;b. Invento mejorado;NO;Tanzania
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;b. Invento mejorado;NO;Trinidad y Tobago
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;b. Invento mejorado;NO;Tunisia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;b. Invento mejorado;NO;Rusia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;b. Invento mejorado;NO;Uruguay
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;c. Ninguno;NO;Tailandia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;c. Ninguno;NO;Emiratos Arabes Unidos
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;c. Ninguno;NO;Vanuatu
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;c. Ninguno;NO;Vietnam
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducido su establecimiento algun Invento?;c. Ninguno;NO;Samoa Occidental
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizo el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del anio 2003, todavia no habian sido finalizadas?;a.Si;SI;Syria
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizo el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del anio 2003, todavia no habian sido finalizadas?;a.Si;SI;Tailandia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizo el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del anio 2003, todavia no habian sido finalizadas?;a.Si;SI;Togo
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizo el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del anio 2003, todavia no habian sido finalizadas?;a.Si;SI;Tongo
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizo el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del anio 2003, todavia no habian sido finalizadas?;a.Si;SI;Tunisia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizo el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del anio 2003, todavia no habian sido finalizadas?;a.Si;SI;Turquia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizo el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del anio 2003, todavia no habian sido finalizadas?;a.Si;SI;Tuvalu
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizo el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del anio 2003, todavia no habian sido finalizadas?;a.Si;SI;Uganda
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizo el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del anio 2003, todavia no habian sido finalizadas?;a.Si;SI;Uganda
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizo el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del anio 2003, todavia no habian sido finalizadas?;a.Si;SI;Rusia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizo el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del anio 2003, todavia no habian sido finalizadas?;a.Si;SI;Reino Unido
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizo el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del anio 2003, todavia no habian sido finalizadas?;a.Si;SI;Estados Unidos
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizo el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del anio 2003, todavia no habian sido finalizadas?;a.Si;SI;Alto Volta
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizo el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del anio 2003, todavia no habian sido finalizadas?;a.Si;SI;Vanuatu
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizo el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del anio 2003, todavia no habian sido finalizadas?;a.Si;SI;Venezuela
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizo el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del anio 2003, todavia no habian sido finalizadas?;b.No;NO;Tanzania
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizo el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del anio 2003, todavia no habian sido finalizadas?;b.No;NO;Trinidad y Tobago
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizo el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del anio 2003, todavia no habian sido finalizadas?;b.No;NO;Rusia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizo el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del anio 2003, todavia no habian sido finalizadas?;b.No;NO;Emiratos Arabes Unidos
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizo el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del anio 2003, todavia no habian sido finalizadas?;b.No;NO;Uruguay
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizo el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del anio 2003, todavia no habian sido finalizadas?;b.No;NO;Vietnam
Encuesta de creatividad;Durante el periodo 2001-2003, ¿realizo el establecimiento alguna actividad de I+D o alguna otra actividad conducente a desarrollar o introducir nuevos productos o procesos que, a finales del anio 2003, todavia no habian sido finalizadas?;b.No;NO;Samoa Occidental
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgunmetodos de investigacion ?;a. Metodo cientifico;SI;Syria
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgunmetodos de investigacion ?;a. Metodo cientifico;SI;Tailandia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgunmetodos de investigacion ?;a. Metodo cientifico;SI;Togo
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgunmetodos de investigacion ?;a. Metodo cientifico;SI;Tongo
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgunmetodos de investigacion ?;a. Metodo cientifico;SI;Tunisia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgunmetodos de investigacion ?;a. Metodo cientifico;SI;Tuvalu
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgunmetodos de investigacion ?;a. Metodo cientifico;SI;Rusia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgunmetodos de investigacion ?;a. Metodo cientifico;SI;Uganda
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgunmetodos de investigacion ?;a. Metodo cientifico;SI;Rusia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgunmetodos de investigacion ?;a. Metodo cientifico;SI;Reino Unido
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgunmetodos de investigacion ?;a. Metodo cientifico;SI;Estados Unidos
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgunmetodos de investigacion ?;a. Metodo cientifico;SI;Alto Volta
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgunmetodos de investigacion ?;a. Metodo cientifico;SI;Uruguay
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgunmetodos de investigacion ?;b. Metodo de desarrollo;NO;Tanzania
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgunmetodos de investigacion ?;b. Metodo de desarrollo;NO;Trinidad y Tobago
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgunmetodos de investigacion ?;b. Metodo de desarrollo;NO;Turquia
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgunmetodos de investigacion ?;b. Metodo de desarrollo;NO;Uganda
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgunmetodos de investigacion ?;b. Metodo de desarrollo;NO;Vanuatu
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgunmetodos de investigacion ?;b. Metodo de desarrollo;NO;Vietnam
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgunmetodos de investigacion ?;b. Metodo de desarrollo;NO;Samoa Occidental
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgunmetodos de investigacion ?;c.Metodo del caos;NO;Emiratos Arabes Unidos
Encuesta de creatividad;Durante el periodo 2001-2003, ¿ha introducidoalgunmetodos de investigacion ?;d. Ningun metodo;NO;Venezuela
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;a. De 90% a100%;SI;Syria
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;a. De 90% a100%;SI;Rusia
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;a. De 90% a100%;SI;Uganda
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;a. De 90% a100%;SI;Estados Unidos
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;b. De 80 a %89;NO;Tanzania
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;b. De 80 a %89;NO;Trinidad y Tobago
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;b. De 80 a %89;NO;Turquia
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;b. De 80 a %89;NO;Uganda
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;b. De 80 a %89;NO;Vanuatu
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;b. De 80 a %89;NO;Vietnam
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;c. De 50% a 79%;NO;
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;d. Menos de 50%;NO;Tailandia
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;d. Menos de 50%;NO;Togo
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;d. Menos de 50%;NO;Tongo
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;d. Menos de 50%;NO;Tunisia
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;d. Menos de 50%;NO;Tuvalu
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;d. Menos de 50%;NO;Emiratos Arabes Unidos
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;d. Menos de 50%;NO;Rusia
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;d. Menos de 50%;NO;Reino Unido
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;d. Menos de 50%;NO;Alto Volta
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;d. Menos de 50%;NO;Uruguay
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;d. Menos de 50%;NO;Venezuela
Encuesta de creatividad;Indicar el rango del procentaje de procesos de inventigacion que se han realizado;d. Menos de 50%;NO;Samoa Occidental
Encuesta de creatividad;¿ Cuantos inventos se han desarrollado en el presente anio?;a. Mas de 100;SI;Syria
Encuesta de creatividad;¿ Cuantos inventos se han desarrollado en el presente anio?;a. Mas de 100;SI;Togo
Encuesta de creatividad;¿ Cuantos inventos se han desarrollado en el presente anio?;a. Mas de 100;SI;Uganda
Encuesta de creatividad;¿ Cuantos inventos se han desarrollado en el presente anio?;a. Mas de 100;SI;Rusia
Encuesta de creatividad;¿ Cuantos inventos se han desarrollado en el presente anio?;a. Mas de 100;SI;Reino Unido
Encuesta de creatividad;¿ Cuantos inventos se han desarrollado en el presente anio?;a. Mas de 100;SI;Estados Unidos
Encuesta de creatividad;¿ Cuantos inventos se han desarrollado en el presente anio?;a. Mas de 100;SI;Alto Volta
Encuesta de creatividad;¿ Cuantos inventos se han desarrollado en el presente anio?;a. Mas de 100;SI;Venezuela
Encuesta de creatividad;¿ Cuantos inventos se han desarrollado en el presente anio?;a. Mas de 100;SI;Vietnam
Encuesta de creatividad;¿ Cuantos inventos se han desarrollado en el presente anio?;a. Mas de 100;SI;Samoa Occidental
Encuesta de creatividad;¿ Cuantos inventos se han desarrollado en el presente anio?;b. Entre 50 y 100;NO;Tunisia
Encuesta de creatividad;¿ Cuantos inventos se han desarrollado en el presente anio?;b. Entre 50 y 100;NO;Tuvalu
Encuesta de creatividad;¿ Cuantos inventos se han desarrollado en el presente anio?;b. Entre 50 y 100;NO;Rusia
Encuesta de creatividad;¿ Cuantos inventos se han desarrollado en el presente anio?;b. Entre 50 y 100;NO;Emiratos Arabes Unidos
Encuesta de creatividad;¿ Cuantos inventos se han desarrollado en el presente anio?;b. Entre 50 y 100;NO;Uruguay
Encuesta de creatividad;¿ Cuantos inventos se han desarrollado en el presente anio?;b. Entre 50 y 100;NO;Vanuatu
Encuesta de creatividad;¿ Cuantos inventos se han desarrollado en el presente anio?;c. Entre 20 y49;NO;
Encuesta de creatividad;¿ Cuantos inventos se han desarrollado en el presente anio?;d. Menos de 20;NO;Tanzania
Encuesta de creatividad;¿ Cuantos inventos se han desarrollado en el presente anio?;d. Menos de 20;NO;Tailandia
Encuesta de creatividad;¿ Cuantos inventos se han desarrollado en el presente anio?;d. Menos de 20;NO;Tongo
Encuesta de creatividad;¿ Cuantos inventos se han desarrollado en el presente anio?;d. Menos de 20;NO;Trinidad y Tobago
Encuesta de creatividad;¿ Cuantos inventos se han desarrollado en el presente anio?;d. Menos de 20;NO;Turquia
Encuesta de creatividad;¿ Cuantos inventos se han desarrollado en el presente anio?;d. Menos de 20;NO;Uganda
Encuesta de Inspiracion;¿Cuando tuvo la experiencia de invencion?;a.Raras veces;SI;Brasil
Encuesta de Inspiracion;¿Cuando tuvo la experiencia de invencion?;a.Raras veces;SI;Afghanistan
Encuesta de Inspiracion;¿Cuando tuvo la experiencia de invencion?;a.Raras veces;SI;Andorra
Encuesta de Inspiracion;¿Cuando tuvo la experiencia de invencion?;a.Raras veces;SI;Argentina
Encuesta de Inspiracion;¿Cuando tuvo la experiencia de invencion?;a.Raras veces;SI;Bahrain
Encuesta de Inspiracion;¿Cuando tuvo la experiencia de invencion?;a.Raras veces;SI;Barbados
Encuesta de Inspiracion;¿Cuando tuvo la experiencia de invencion?;b.Siempre;NO;Brunei
Encuesta de Inspiracion;¿Cuando tuvo la experiencia de invencion?;b.Siempre;NO;Albania
Encuesta de Inspiracion;¿Cuando tuvo la experiencia de invencion?;b.Siempre;NO;Angola
Encuesta de Inspiracion;¿Cuando tuvo la experiencia de invencion?;b.Siempre;NO;Australia
Encuesta de Inspiracion;¿Cuando tuvo la experiencia de invencion?;b.Siempre;NO;Austria
Encuesta de Inspiracion;¿Cuando tuvo la experiencia de invencion?;b.Siempre;NO;Bahamas
Encuesta de Inspiracion;¿Cuando tuvo la experiencia de invencion?;b.Siempre;NO;Bangladesh
Encuesta de Inspiracion;¿Cuando tuvo la experiencia de invencion?;c.es inconciente;NO;Algeria
Encuesta de Inspiracion;¿Cuando tuvo la experiencia de invencion?;c.es inconciente;NO;Antigua y Barbuda
Encuesta de Inspiracion;¿Cuando tuvo la experiencia de invencion?;c.es inconciente;NO;Belgica
Encuesta de Inspiracion;¿Cuando tuvo la experiencia de invencion?;c.es inconciente;NO;Belize
Encuesta de Inspiracion;¿Cuando tuvo la experiencia de invencion?;c.es inconciente;NO;Benin
Encuesta de Inspiracion;¿Cuando tuvo la experiencia de invencion?;c.es inconciente;NO;Bhutan
Encuesta de Inspiracion;¿Cuando tuvo la experiencia de invencion?;c.es inconciente;NO;Bolivia
Encuesta de Inspiracion;¿Cuando tuvo la experiencia de invencion?;d.nunca;NO;
Encuesta de Inspiracion;¿Donde estaba usted cuando tuvo la experiencia?;a. En el trabajo;SI;Brasil
